,unique,total,organic,robotic,"robotic,organic",organic__total,robotic__total,"robotic,organic__total",-,Apache-HttpClient,Apache-Jena-ARQ,Asparagus/Asparagus 0.1,BeeMusic.Importer (https://beemusic.kantarmedia.fr/; *),C++ WikiAPI,GuzzleHttp,Jakarta Commons-HttpClient/3.1,Java/1.6.0,Java/1.7.0,Java/1.8.0,Jersey/2.22.1 (HttpUrlConnection 1.8.0_45),Magnus labs tools,Mechanize/2.7.5 Ruby/2.2.7p470 (http://github.com/sparklemotion/mechanize/),MediaWiki/1.30.0-wmf.*,MovieGuide-wikidata/0.1,PBB_core fastrun,PetScan,Python-httplib2,Python-urllib,Pywikibot/3.0-dev,QueryBot/0.1,Ruby,SQID Python Helper,WikidataR - https://github.com/Ironholds/WikidataR,YTCleaner,__find_genus,__match_or_create_species,__match_taxon,automatch,auxiliary_matcher,awarder,axios,beaTunes,beacon,bot_commons,botanists,browser,coords2json,curl,fix_items,https://github.com/bearloga/WikidataQueryServiceR,images_on_wikidata_not_wikipedia,jgonsior-tree,kartotherian-geoshapes/0.0.10 (https://mediawiki.org/Maps),microsync,misc,missing_wp_animal_audio,new_resolve_authors,node-fetch/1.0 (+https://github.com/bitinn/node-fetch),okhttp/3.4.1,orcid_bot,orcidator,osm-wikidata/0.1 (https://github.com/EdwardBetts/osm-wikidata; *),other,python-requests,query,resolver,rest-client2.0.* (*) ruby/*,sparqlwrapper * (rdflib.github.io/sparqlwrapper),taxon_matcher,testing,thorough_name_match,translate_items_with_property,update_dynamic,wd_edit_stats,wdq_image_feed,-__total,Apache-HttpClient__total,Apache-Jena-ARQ__total,Asparagus/Asparagus 0.1__total,BeeMusic.Importer (https://beemusic.kantarmedia.fr/; *)__total,C++ WikiAPI__total,GuzzleHttp__total,Jakarta Commons-HttpClient/3.1__total,Java/1.6.0__total,Java/1.7.0__total,Java/1.8.0__total,Jersey/2.22.1 (HttpUrlConnection 1.8.0_45)__total,Magnus labs tools__total,Mechanize/2.7.5 Ruby/2.2.7p470 (http://github.com/sparklemotion/mechanize/)__total,MediaWiki/1.30.0-wmf.*__total,MovieGuide-wikidata/0.1__total,PBB_core fastrun__total,PetScan__total,Python-httplib2__total,Python-urllib__total,Pywikibot/3.0-dev__total,QueryBot/0.1__total,Ruby__total,SQID Python Helper__total,WikidataR - https://github.com/Ironholds/WikidataR__total,YTCleaner__total,__find_genus__total,__match_or_create_species__total,__match_taxon__total,automatch__total,auxiliary_matcher__total,awarder__total,axios__total,beaTunes__total,beacon__total,bot_commons__total,botanists__total,browser__total,coords2json__total,curl__total,fix_items__total,https://github.com/bearloga/WikidataQueryServiceR__total,images_on_wikidata_not_wikipedia__total,jgonsior-tree__total,kartotherian-geoshapes/0.0.10 (https://mediawiki.org/Maps)__total,microsync__total,misc__total,missing_wp_animal_audio__total,new_resolve_authors__total,node-fetch/1.0 (+https://github.com/bitinn/node-fetch)__total,okhttp/3.4.1__total,orcid_bot__total,orcidator__total,osm-wikidata/0.1 (https://github.com/EdwardBetts/osm-wikidata; *)__total,other__total,python-requests__total,query__total,resolver__total,rest-client2.0.* (*) ruby/*__total,sparqlwrapper * (rdflib.github.io/sparqlwrapper)__total,taxon_matcher__total,testing__total,thorough_name_match__total,translate_items_with_property__total,update_dynamic__total,wd_edit_stats__total,wdq_image_feed__total
P1566,756156,1088722,1241.0,754844.0,71.0,2241.0,1085828.0,653.0,58490.0,,100415.0,,,8.0,,387849.0,,,,,,,38302.0,,,1.0,,581.0,16.0,,4.0,,,,,,,,413.0,,,,1.0,,,1312.0,,158213.0,,,,,,,,,,1.0,,,,,715.0,43.0,,,,9865.0,,,,,,,,215687.0,,100886.0,,,142.0,,424593.0,,,,,,,61830.0,,,1.0,,9177.0,97.0,,54.0,,,,,,,,25186.0,,,,1.0,,,2894.0,,228036.0,,,,,,,,,,1.0,,,,,1239.0,201.0,,,,19461.0,,,,,,,
P17,698540,2950772,22943.0,675183.0,414.0,47380.0,2885114.0,18278.0,144365.0,19.0,3742.0,,,,,8824.0,,389260.0,1340.0,,908.0,,,,1.0,292.0,,13872.0,166.0,,10.0,,,,,,,,,,,,,,,74126.0,,1.0,,6.0,,,2092.0,,,,,8.0,511.0,,,,23454.0,10666.0,61.0,,749.0,24508.0,,,,,3.0,,,268407.0,75.0,96944.0,,,,,35276.0,,909261.0,6821.0,,70670.0,,,,7.0,2027.0,,45071.0,985.0,,278.0,,,,,,,,,,,,,,,678863.0,,10.0,,30.0,,,43646.0,,,,,36.0,858.0,,,,24685.0,634954.0,116.0,,2179.0,148585.0,,,,,1009.0,,
P569,697568,3605264,14196.0,683171.0,201.0,22632.0,3415242.0,167390.0,141600.0,350.0,2990.0,,,,,665.0,5347.0,315947.0,2367.0,,2759.0,,,,2.0,28.0,,179.0,26.0,,,,,,,,,,,,,533.0,,1.0,,39676.0,,1.0,,9.0,,,,,,,,,,,,,799.0,8744.0,22.0,,,15180.0,,,160567.0,,,,,1078644.0,432.0,60450.0,,,,,47466.0,20227.0,350049.0,7643.0,,737328.0,,,,4.0,826.0,,2447.0,798.0,,,,,,,,,,,,,649.0,,83.0,,262291.0,,10.0,,497.0,,,,,,,,,,,,,9563.0,134558.0,53.0,,,40206.0,,,883600.0,,,,
P582,632201,4465189,6392.0,625279.0,530.0,14741.0,4419181.0,31267.0,1691.0,7.0,1804.0,,,,,2061.0,,133994.0,60.0,,189.0,,,,1.0,5.0,,,28590.0,,,,,,,,,,,,,,,,,8351.0,,1.0,,1.0,,,1045.0,,,,,1.0,4001.0,,,,8.0,446527.0,1.0,,316.0,4082.0,,,,,,,,17429.0,32.0,4758.0,,,,,51068.0,,404835.0,117.0,,10377.0,,,,16.0,129.0,,,112153.0,,,,,,,,,,,,,,,,,67234.0,,2.0,,491.0,,,20830.0,,,,,53.0,6442.0,,,,96.0,3789823.0,1.0,,1179.0,10030.0,,,,,,,
P27,629950,2524860,7326.0,622492.0,132.0,13149.0,2504339.0,7372.0,141374.0,5.0,3258.0,,,,,2.0,10.0,342794.0,55639.0,,502.0,,,,1.0,32576.0,,1.0,2.0,,,,,,,,,,,,,529.0,,,,32058.0,,2.0,,8.0,,,,,,,,,103.0,,,,293.0,5387.0,33.0,,,15509.0,,2.0,,,1.0,,,1211818.0,10.0,29297.0,,,,,12.0,19.0,730335.0,342477.0,,36622.0,,,,16.0,38020.0,,1.0,162.0,,,,,,,,,,,,,643.0,,,,83415.0,,84.0,,74.0,,,,,,,,,138.0,,,,1239.0,17682.0,165.0,,,39962.0,,17.0,,,336.0,,
P19,627217,2799354,6156.0,620968.0,93.0,11726.0,2778564.0,9064.0,140470.0,252.0,3908.0,,,,,664.0,77.0,396946.0,55740.0,,1703.0,,,,2.0,17.0,,171.0,,,,,,,,,,,,,,,,,,6796.0,,,,7.0,,,,,,,,,105.0,,,,168.0,6624.0,5.0,,,13651.0,,,,,3.0,,,1124949.0,275.0,47135.0,,,,,47450.0,670.0,937133.0,343145.0,,142605.0,,,,14.0,70.0,,797.0,,,,,,,,,,,,,,,,,,33454.0,,,,73.0,,,,,,,,,144.0,,,,714.0,94399.0,6.0,,,34639.0,,,,,1091.0,,
P1082,627137,1119794,3914.0,623089.0,134.0,8575.0,1096420.0,14799.0,102642.0,7.0,678.0,,,,,,1673.0,,256.0,,29.0,,,,,,,,408.0,,,,,,,,,,,,14.0,,,,,4062.0,,1.0,,57.0,,,6.0,,,,,,,,,,91.0,106.0,,,,517241.0,,,,,,,,391266.0,221.0,11044.0,,,,,,6012.0,,316.0,,1283.0,,,,,,,,2169.0,,,,,,,,,,,,24.0,,,,,23388.0,,11.0,,3758.0,,,43.0,,,,,,,,,,582.0,3131.0,,,,691848.0,,,,,,,
P106,571049,4858896,15911.0,554866.0,272.0,25202.0,4750764.0,82930.0,290154.0,4431.0,1731.0,,,1.0,,45.0,,1334.0,812.0,,673.0,,,,1.0,232.0,,8.0,4.0,,,,,,,,,,,,,11271.0,,,,40345.0,,2.0,,36.0,,,,,,,,7679.0,2622.0,,,,1138.0,194804.0,23.0,,,13995.0,,2.0,,,4.0,,,2152492.0,154986.0,21128.0,,,44.0,,270.0,,5552.0,1610.0,,668220.0,,,,16.0,1174.0,,3154.0,167.0,,,,,,,,,,,,,55578.0,,,,159305.0,,2.0,,496.0,,,,,,,,108419.0,16061.0,,,,2280.0,1546879.0,178.0,,,43539.0,,17.0,,,1427.0,,
P345,550880,1800431,4688.0,545490.0,702.0,7461.0,1781074.0,11896.0,153139.0,18846.0,1301.0,,,8.0,7603.0,1.0,,3002.0,17653.0,,25.0,4222.0,20388.0,4917.0,,2.0,,4.0,,,5676.0,,,,,,,,,,10.0,1052.0,253.0,,,113421.0,,8.0,,4.0,,,,1.0,,,,,,,,,637.0,19858.0,,183131.0,,5989.0,,,,1.0,,,,670388.0,74839.0,1725.0,,,180.0,12952.0,14.0,,7055.0,17701.0,,1331.0,65702.0,37158.0,48275.0,,4.0,,11.0,,,216454.0,,,,,,,,,,21.0,1692.0,1222.0,,,216114.0,,22.0,,24.0,,,,973.0,,,,,,,,,4097.0,186648.0,,304677.0,,67371.0,,,,1.0,,,
P214,534683,26065232,973.0,533698.0,12.0,3020.0,26061884.0,328.0,1319.0,2.0,2099.0,,,6.0,,4.0,,119.0,55187.0,,7.0,,50218.0,,3.0,1.0,,15477.0,3.0,,,,,,,,,,404091.0,,,,300.0,,,985.0,,1.0,,,,,,,,,,,,,,,1182.0,3381.0,,3.0,,312.0,,,,,,,,334156.0,27.0,3364.0,,,148.0,,1109.0,,132.0,341725.0,,495.0,,96194.0,,3.0,86.0,,16831.0,26.0,,,,,,,,,,25236040.0,,,,4342.0,,,3348.0,,2.0,,,,,,,,,,,,,,,10005.0,17161.0,,15.0,,953.0,,,,,,,
