,unique,total,organic,robotic,"robotic,organic",organic__total,robotic__total,"robotic,organic__total",-,Apache-HttpClient,Apache-Jena-ARQ,Asparagus/Asparagus 0.1,BeeMusic.Importer (https://beemusic.kantarmedia.fr/; *),C++ WikiAPI,GuzzleHttp,Jakarta Commons-HttpClient/3.1,Java/1.6.0,Java/1.7.0,Java/1.8.0,Jersey/2.22.1 (HttpUrlConnection 1.8.0_45),Magnus labs tools,Mechanize/2.7.5 Ruby/2.2.7p470 (http://github.com/sparklemotion/mechanize/),MediaWiki/1.30.0-wmf.*,MovieGuide-wikidata/0.1,PBB_core fastrun,PetScan,Python-httplib2,Python-urllib,Pywikibot/3.0-dev,QueryBot/0.1,Ruby,SQID Python Helper,WikidataR - https://github.com/Ironholds/WikidataR,YTCleaner,__find_genus,__match_or_create_species,__match_taxon,automatch,auxiliary_matcher,awarder,axios,beaTunes,beacon,bot_commons,botanists,browser,coords2json,curl,fix_items,https://github.com/bearloga/WikidataQueryServiceR,images_on_wikidata_not_wikipedia,jgonsior-tree,kartotherian-geoshapes/0.0.10 (https://mediawiki.org/Maps),microsync,misc,missing_wp_animal_audio,new_resolve_authors,node-fetch/1.0 (+https://github.com/bitinn/node-fetch),okhttp/3.4.1,orcid_bot,orcidator,osm-wikidata/0.1 (https://github.com/EdwardBetts/osm-wikidata; *),other,python-requests,query,resolver,rest-client2.0.* (*) ruby/*,sparqlwrapper * (rdflib.github.io/sparqlwrapper),taxon_matcher,testing,thorough_name_match,translate_items_with_property,update_dynamic,wd_edit_stats,wdq_image_feed,-__total,Apache-HttpClient__total,Apache-Jena-ARQ__total,Asparagus/Asparagus 0.1__total,BeeMusic.Importer (https://beemusic.kantarmedia.fr/; *)__total,C++ WikiAPI__total,GuzzleHttp__total,Jakarta Commons-HttpClient/3.1__total,Java/1.6.0__total,Java/1.7.0__total,Java/1.8.0__total,Jersey/2.22.1 (HttpUrlConnection 1.8.0_45)__total,Magnus labs tools__total,Mechanize/2.7.5 Ruby/2.2.7p470 (http://github.com/sparklemotion/mechanize/)__total,MediaWiki/1.30.0-wmf.*__total,MovieGuide-wikidata/0.1__total,PBB_core fastrun__total,PetScan__total,Python-httplib2__total,Python-urllib__total,Pywikibot/3.0-dev__total,QueryBot/0.1__total,Ruby__total,SQID Python Helper__total,WikidataR - https://github.com/Ironholds/WikidataR__total,YTCleaner__total,__find_genus__total,__match_or_create_species__total,__match_taxon__total,automatch__total,auxiliary_matcher__total,awarder__total,axios__total,beaTunes__total,beacon__total,bot_commons__total,botanists__total,browser__total,coords2json__total,curl__total,fix_items__total,https://github.com/bearloga/WikidataQueryServiceR__total,images_on_wikidata_not_wikipedia__total,jgonsior-tree__total,kartotherian-geoshapes/0.0.10 (https://mediawiki.org/Maps)__total,microsync__total,misc__total,missing_wp_animal_audio__total,new_resolve_authors__total,node-fetch/1.0 (+https://github.com/bitinn/node-fetch)__total,okhttp/3.4.1__total,orcid_bot__total,orcidator__total,osm-wikidata/0.1 (https://github.com/EdwardBetts/osm-wikidata; *)__total,other__total,python-requests__total,query__total,resolver__total,rest-client2.0.* (*) ruby/*__total,sparqlwrapper * (rdflib.github.io/sparqlwrapper)__total,taxon_matcher__total,testing__total,thorough_name_match__total,translate_items_with_property__total,update_dynamic__total,wd_edit_stats__total,wdq_image_feed__total
P2508,8083,23887,77.0,7937.0,69.0,244.0,22436.0,1207.0,4.0,,292.0,,,8.0,,,,,,,1.0,,1454.0,,,,,,,,,,,,,,,,,,,,,,,6323.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,4.0,,295.0,,,148.0,,,,,,,18.0,,2572.0,,,,,,,,,,,,,,,,,,,,,,,20860.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,
P493,7998,12234,152.0,7846.0,,255.0,11979.0,,6.0,,6134.0,,,6.0,,,,,22.0,,,,1586.0,,5.0,,,2.0,,,,,,,,,,,,,,,45.0,,,152.0,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,6.0,,7565.0,,,148.0,,,,,26.0,,,,3214.0,,141.0,,,328.0,,,,,,,,,,,,,,,244.0,,,255.0,,,,,,,,,,,,,,,,,307.0,,,,,,,,,,,,
P492,7997,11643,11.0,7985.0,1.0,30.0,11604.0,9.0,8.0,,6124.0,,,16.0,,,,,,,,,848.0,,911.0,,,,,,,,,,,,,,,,,,45.0,,,12.0,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,8.0,,7555.0,,,802.0,,,,,,,,,1654.0,,1208.0,,,,,,,,,,,,,,,,,,244.0,,,39.0,,,,,,,,,,,,,,,,,142.0,,,,,,,,,,,,
P1953,7903,26630,39.0,7863.0,1.0,47.0,26580.0,3.0,13.0,,506.0,,,8.0,,,,,,,,,2494.0,,,,,,,,,,,,,,,,,,,4564.0,45.0,,,40.0,,,,,,,,,,,,,,,,,2.0,11.0,,1.0,,220.0,,,,,,,,250.0,,749.0,,,148.0,,,,,,,,,5286.0,,,,,,,,,,,,,,,,,,,7365.0,364.0,,,50.0,,,,,,,,,,,,,,,,,9.0,2007.0,,1.0,,10404.0,,,,,,,
P135,7880,46886,475.0,7395.0,10.0,605.0,46203.0,78.0,3808.0,,116.0,,,,,3394.0,,,2.0,,4.0,,,,,37.0,,,,,,,,,,,,,,,,,,,,485.0,,,,,,,,,,,,,10.0,,,,2.0,22.0,,,,11.0,,,,,,,,31135.0,,264.0,,,,,13455.0,,,11.0,,254.0,,,,,52.0,,,,,,,,,,,,,,,,,,,,683.0,,,,,,,,,,,,,13.0,,,,12.0,776.0,,,,313.0,,,,,,,
P3185,7516,14548,8.0,7500.0,8.0,11.0,14485.0,52.0,6.0,,63.0,,,24.0,7263.0,,,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,2.0,9.0,,,,1.0,,,,,,,,6.0,,64.0,,,1372.0,12112.0,,,,,,,,226.0,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,,9.0,747.0,,,,1.0,,,,,,,
P508,7510,19112,8.0,7502.0,,8.0,19104.0,,8.0,,147.0,,,10.0,,,,,,,,,7078.0,,,,,2.0,,,,,,,,,,,,,,,250.0,,,8.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,4.0,,,,,,,,8.0,,228.0,,,148.0,,,,,,,,,17092.0,,,,,328.0,,,,,,,,,,,,,,,1285.0,,,8.0,,,,,,,,,,,,,,,,,10.0,2.0,,,,5.0,,,,,,,
P1296,7335,22089,6.0,7329.0,,6.0,22083.0,,6.0,,205.0,,,70.0,,,,,,,,,7044.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,6.0,,294.0,,,6248.0,,,,,,,,,15504.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,22.0,,,,,,,,,8.0,,,,,1.0,,,,,,,
P1258,7291,57801,526.0,6738.0,27.0,823.0,18232.0,38746.0,940.0,,369.0,,,24.0,,,,,,,1.0,,4230.0,,,,,,,,,,,,,,,,,,,,46.0,,,1681.0,,,,,,,,,,,,,,,,,2.0,11.0,,,,,,,,,,,,5648.0,,391.0,,,1368.0,,,,,,,18.0,,8346.0,,,,,,,,,,,,,,,,,,,,532.0,,,43194.0,,,,,,,,,,,,,,,,,10.0,2008.0,,,,,,,,,,,
P186,7249,38501,697.0,6531.0,21.0,1124.0,37228.0,149.0,50.0,,157.0,,,,,4379.0,,,,,7.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,718.0,,,,,,,,,,,,,1.0,,,,4.0,1939.0,,,,15.0,,,,,,,,136.0,,731.0,,,,,17555.0,,,,,467.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,1273.0,,,,,,,,,,,,,1.0,,,,14.0,9820.0,,,,8654.0,,,,,,,
P434,7178,9752675,154.0,7019.0,5.0,335.0,9745883.0,6457.0,11.0,,162.0,,,6.0,,,,7.0,,,,,4534.0,,,,,2.0,,,,,,,,,,,30.0,,,1420.0,251.0,,,159.0,,,,,,,,,,,,,,,,,3.0,593.0,,,,4.0,,,,1.0,,,,105.0,,214.0,,,148.0,,,,805.0,,,,,9674.0,,,,,2.0,,,,,,,,,,,9723379.0,,,8091.0,1574.0,,,6792.0,,,,,,,,,,,,,,,,,2237.0,1398.0,,,,4709.0,,,,4.0,,,
P1417,7037,18286,10.0,7027.0,,115.0,18171.0,,6.0,,219.0,,,10.0,,,,,,,1.0,,6740.0,,,,,1.0,,,,,,,,,,,,,,,45.0,,,10.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,2.0,,,,,,,,6.0,,220.0,,,148.0,,,,,,,2.0,,17084.0,,,,,1.0,,,,,,,,,,,,,,,608.0,,,115.0,,,,,,,,28.0,,,,,,,,,6.0,,,,,68.0,,,,,,,
P2427,7006,104180,180.0,6820.0,6.0,276.0,103686.0,218.0,8.0,,104.0,,,12.0,,,,,,,,,6680.0,,4.0,,,3.0,,,,,,,,,,,,,,,,,,186.0,,2.0,,,,,,1.0,,,,,,,,,3.0,8.0,,1.0,,3.0,,,,,,1.0,,8.0,,105.0,,,148.0,,,,,,,,,9632.0,,85755.0,,,9.0,,,,,,,,,,,,,,,,,,494.0,,129.0,,,,,,3.0,,,,,,,,,94.0,8133.0,,56.0,,7992.0,,,,,,1.0,
P1191,7000,14244,518.0,6482.0,,829.0,13415.0,,6255.0,,195.0,,,,,,,,1.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,518.0,,,,,,,,,,,,,,,,,2.0,8.0,,,,1.0,,,,,,,,12556.0,,197.0,,,,,,,,2.0,,623.0,,,,,,,,,,,,,,,,,,,,,,,,,829.0,,,,,,,,,,,,,,,,,13.0,23.0,,,,1.0,,,,,,,
P2610,6986,8323,8.0,6969.0,9.0,11.0,8281.0,31.0,12.0,,123.0,,,,,930.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,2.0,,,,,5909.0,,,,,,,,12.0,,123.0,,,,,1740.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,9.0,,,,,6422.0,,,,,,,
P949,6793,17178,2.0,6791.0,,4.0,17174.0,,8.0,,193.0,,,,,,,,,,,,6376.0,,,,,,,,,,,,,,,,,,,,210.0,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,8.0,,197.0,,,,,,,,,,,,15772.0,,,,,,,,,,,,,,,,,,,,1186.0,,,4.0,,,,,,,,,,,,,,,,,9.0,,,,,2.0,,,,,,,
P2044,6757,25406,2034.0,4663.0,60.0,2659.0,19257.0,3490.0,70.0,3.0,266.0,,,,,1095.0,,,555.0,,60.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,2106.0,,,,,,,,,,,,,,,,,52.0,84.0,,,,2524.0,,,,,,,,3186.0,3.0,873.0,,,,,4469.0,,,1684.0,,1366.0,,,,,85.0,,,6.0,,,,,,,,,,,,,,,,,6164.0,,,,,,,,,,,,,,,,,64.0,331.0,,,,10750.0,,,,,,,
P2130,6747,20166,41.0,6706.0,,46.0,20120.0,,2354.0,,108.0,,,,,,74.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,2.0,17.0,,,,4148.0,,,,,,,,15438.0,,114.0,,,,,,94.0,,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,7.0,50.0,,,,4410.0,,,,,,,
P2003,6738,132951,919.0,5813.0,6.0,1821.0,127454.0,3676.0,540.0,,142.0,,,8.0,,,,,,,2.0,,1518.0,,3.0,1.0,,878.0,,,4.0,,,,,,,,1985.0,,,,44.0,,,925.0,,,,,,,,,,,,,,,,,2.0,684.0,,,,9.0,,,,,,,,4976.0,,143.0,,,148.0,,,,,,,169.0,,3396.0,,3.0,86.0,,2864.0,,,64.0,,,,,,,,113947.0,,,,359.0,,,5497.0,,,,,,,,,,,,,,,,,8.0,5000.0,,,,53.0,,,,,,,
P3129,6596,20065,23.0,6548.0,25.0,72.0,19020.0,973.0,4.0,,108.0,,,10.0,,,,,,,,,2342.0,,,,,,,,,,,,,,,,,,,,,,,4130.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,4.0,,111.0,,,148.0,,,,,,,,,4016.0,,,,,,,,,,,,,,,,,,,,,,,15778.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,
P828,6534,7990,114.0,6420.0,,225.0,7765.0,,8.0,,6212.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,114.0,,,,,,,,,,,,,4.0,,,,2.0,189.0,,,,3.0,,,,,,,,8.0,,7179.0,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,225.0,,,,,,,,,,,,,4.0,,,,10.0,401.0,,,,95.0,,,,,,,
P2176,6429,7811,25.0,6404.0,,47.0,7764.0,,6.0,,6100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,2.0,293.0,,,,3.0,,,,,,,,6.0,,6229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,8.0,1514.0,,,,7.0,,,,,,,
P2293,6400,7349,285.0,6114.0,1.0,395.0,6951.0,3.0,6.0,,6098.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,,,,,,,,,,,,,,,,2.0,,,,,8.0,,,,,,,,6.0,,6871.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,398.0,,,,,,,,,,,,,,,,,8.0,,,,,68.0,,,,,,,
P2509,6399,20572,74.0,6262.0,63.0,276.0,19098.0,1198.0,4.0,,71.0,,,8.0,,,,,,,1.0,,690.0,,,,,,,,,,,,,,,,,,,,,,,5608.0,,,,,,,,,,,,,,,,,2.0,16.0,,,,,,,,,,,,4.0,,74.0,,,148.0,,,,,,,18.0,,1270.0,,,,,,,,,,,,,,,,,,,,,,,19036.0,,,,,,,,,,,,,,,,,8.0,32.0,,,,,,,,,,,
P3804,6359,20808,13.0,6326.0,20.0,43.0,20643.0,122.0,6.0,,123.0,,,12.0,,,,,,,,,760.0,,,,,,,,,,,,,,,,,,,,1.0,,,5441.0,,,,,,,,,,,,,,,,,2.0,,,,,14.0,,,,,,,,6.0,,126.0,,,150.0,,,,,,,,,1270.0,,,,,,,,,,,,,,,,,,,,1.0,,,19206.0,,,,,,,,,,,,,,,,,17.0,,,,,32.0,,,,,,,
P1376,6349,26832,192.0,6157.0,,471.0,26361.0,,4.0,1.0,525.0,,,,,,839.0,,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,192.0,,,,,,,,,,,,,4.0,,,,2.0,4768.0,,,,4.0,,,,,,,,4.0,1.0,15390.0,,,,,,5819.0,,16.0,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,471.0,,,,,,,,,,,,,11.0,,,,8.0,4957.0,,,,72.0,,,,,,,
P2257,6327,17204,45.0,6280.0,2.0,89.0,17105.0,10.0,2447.0,,112.0,,,,,,,,,,,,,,,6.0,,,4.0,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,2.0,,,,,3711.0,,,,,,,,13081.0,,112.0,,,,,,,,,,,,,,,19.0,,,8.0,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,6.0,,,,,3889.0,,,,,,,
P138,6287,40324,1233.0,5029.0,25.0,3881.0,35728.0,715.0,3304.0,,622.0,,,,,252.0,,,11.0,,39.0,,,,,5.0,,,5.0,,,,,,,,,,,,,,,,,1259.0,,,,,,,,,,,,,66.0,,,,4.0,737.0,,,,8.0,,,,,,,,8116.0,,11424.0,,,,,1294.0,,,13.0,,2716.0,,,,,19.0,,,5.0,,,,,,,,,,,,,,,,,12652.0,,,,,,,,,,,,,88.0,,,,16.0,2805.0,,,,1891.0,,,,,,,
P47,6270,407655,399.0,5865.0,6.0,1180.0,406392.0,83.0,20.0,1.0,1012.0,,,,,,,,29.0,,,,,,3.0,2.0,,,40.0,,,,,,,,,,,,,,,,,405.0,,,,,,,8.0,,,,,,10.0,,,,3.0,4734.0,,,,9.0,,,,,,,,161.0,2.0,8003.0,,,,,,,,38.0,,,,,,9.0,5.0,,,146.0,,,,,,,,,,,,,,,,,1263.0,,,,,,,68.0,,,,,,14.0,,,,12.0,4965.0,,,,393052.0,,,,,,,
P780,6207,7032,67.0,6140.0,,79.0,6953.0,,9.0,,6100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,2.0,22.0,,,,7.0,,,,,,,,9.0,,6866.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,10.0,61.0,,,,7.0,,,,,,,
P659,6144,14078,46.0,6096.0,2.0,60.0,14000.0,18.0,6.0,5758.0,302.0,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,6.0,12942.0,980.0,,,,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,
P927,6131,6963,2.0,6129.0,,2.0,6961.0,,8.0,,6114.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,2.0,,,,,1.0,,,,,,,,8.0,,6933.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,10.0,,,,,3.0,,,,,,,
P923,6112,6886,1.0,6111.0,,1.0,6885.0,,6.0,,6097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,6.0,,,,,,,,6.0,,6863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,10.0,,,,,6.0,,,,,,,
P1441,6084,26397,186.0,5896.0,2.0,292.0,13439.0,12666.0,4.0,9.0,170.0,,,,,1.0,,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,188.0,,,,,,,,,,,,,95.0,,,,2.0,5596.0,,,,13.0,,,,,,,,4.0,22.0,994.0,,,,,14.0,,,1.0,,571.0,,,,,,,,,,,,,,,,,,,,,,,,,12958.0,,,,,,,,,,,,,99.0,,,,6.0,24344.0,,,,50.0,,,,,,,
P2659,6020,7175,581.0,5434.0,5.0,634.0,6507.0,34.0,12.0,,116.0,,,,,246.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,586.0,,,,,,,,,,,,,,,,,2.0,,,,,5061.0,,,,,,,,12.0,,116.0,,,,,1260.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,668.0,,,,,,,,,,,,,,,,,7.0,,,,,5140.0,,,,,,,
P840,6016,14917,278.0,5738.0,,528.0,14389.0,,4870.0,,217.0,,,,,,,,13.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,278.0,,,,,,,,,,,,,29.0,,,,344.0,8.0,,,,251.0,,,,,,,,8637.0,,2456.0,,,,,,,,13.0,,498.0,,,,,,,,,,,,,,,,,,,,,,,,,528.0,,,,,,,,,,,,,44.0,,,,352.0,16.0,,,,2373.0,,,,,,,
P1472,6000,13425,39.0,5959.0,2.0,124.0,13252.0,49.0,6.0,,122.0,,,8.0,,,,,,,1.0,,5692.0,,,1.0,,,,,,,,,,,,,,,,,45.0,,,41.0,,3.0,,,,,,1.0,,,,,,,,,2.0,80.0,,,,,,,,,,,,6.0,,122.0,,,148.0,,,,,,,1.0,,11286.0,,,3.0,,,,,,,,,,,,,,,,,529.0,,,173.0,,5.0,,,,,,49.0,,,,,,,,,7.0,1145.0,,,,,,,,,,,
P2408,5978,11102,12.0,5966.0,,12.0,11090.0,,5538.0,,65.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,10.0,,,,344.0,,,,,8.0,,,,,,,,10568.0,,68.0,,,,,,,,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,10.0,,,,349.0,,,,,12.0,,,,,,,
P2181,5960,9729,,5960.0,,,9729.0,,8.0,,73.0,,,8.0,,,,,,,,,150.0,,,,,5706.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,13.0,,,,,,,,,,,,8.0,,73.0,,,148.0,,,,,,,,,166.0,,,,,6056.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,3269.0,,,,,,,,,,,
P115,5936,36470,120.0,5811.0,5.0,144.0,35521.0,805.0,4749.0,,100.0,,,,,,,86.0,39.0,,2.0,,,,,2.0,,,2.0,,,,,,,,,,,,1.0,,,,,125.0,,,,,,,,,,,,,,,,,2.0,822.0,,,,11.0,,,,,,,,31659.0,,512.0,,,,,,,666.0,93.0,,165.0,,,,,5.0,,,1518.0,,,,,,,,,,,,17.0,,,,,949.0,,,,,,,,,,,,,,,,,11.0,881.0,,,,799.0,,,,,,,
P1014,5824,13994,154.0,5670.0,,162.0,13832.0,,8.0,,128.0,,,10.0,,,,,,,1.0,,5472.0,,,,,2.0,,,,,,,,,,,,,,,45.0,,,154.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,1.0,,,,,,,,8.0,,156.0,,,148.0,,,,,,,82.0,,12544.0,,,,,328.0,,,,,,,,,,,,,,,530.0,,,162.0,,,,,,,,24.0,,,,,,,,,11.0,,,,,1.0,,,,,,,
P3844,5765,19129,23.0,5717.0,25.0,62.0,18901.0,166.0,8.0,,95.0,,,14.0,,,,,,,1.0,,906.0,,,,,,,,,,,,,,,,,,,,,,,4738.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,8.0,,98.0,,,150.0,,,,,,,1.0,,1578.0,,,,,,,,,,,,,,,,,,,,,,,17254.0,,,,,,,,32.0,,,,,,,,,8.0,,,,,,,,,,,,
P1881,5640,10092,,5640.0,,,10092.0,,5458.0,,69.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,107.0,,,,2.0,,,,,,,,9553.0,,142.0,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,11.0,327.0,,,,14.0,,,,,,,
P2483,5608,22850,8.0,5600.0,,8.0,22842.0,,5525.0,,56.0,,,8.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,22598.0,,56.0,,,148.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,22.0,,,,,,,,,8.0,,,,,,,,,,,,
P650,5525,13700,55.0,5462.0,8.0,76.0,13257.0,367.0,8.0,,129.0,,,10.0,,,,,,,11.0,,4986.0,,,,,,83.0,,,,,,,,,,,,,,48.0,,,63.0,,,,,,,,1.0,,,,,,,,,172.0,18.0,1.0,,,3.0,,,,,,,,8.0,,129.0,,,146.0,,,,,,,897.0,,9336.0,,,,,,779.0,,,,,,,,,,,,,,613.0,,,443.0,,,,,,,,22.0,,,,,,,,,193.0,1497.0,1.0,,,3.0,,,,,,,
P1433,5399,25439,1840.0,3554.0,5.0,4689.0,20611.0,139.0,3329.0,,130.0,,,,,,,,,,15.0,,,,,57.0,,,,,,,,,,,,,,,,,,,,1845.0,,,,,,,,,,,,,8.0,,,,2.0,9.0,,,,7.0,,,,,2.0,,,17750.0,,419.0,,,,,,,,,,936.0,,,,,376.0,,,,,,,,,,,,,,,,,,,,4828.0,,,,,,,,,,,,,10.0,,,,8.0,34.0,,,,545.0,,,,,672.0,,
P1667,5368,10943,48.0,5320.0,,74.0,10869.0,,4.0,,92.0,,,10.0,,,,,,,,,4920.0,,,,,2.0,,,,,,,,,,,,,,,250.0,,,48.0,,,,,,,,1.0,,,,,,,,,2.0,27.0,,,,12.0,,,,,,,,4.0,,104.0,,,148.0,,,,,,,,,8584.0,,,,,328.0,,,,,,,,,,,,,,,1573.0,,,74.0,,,,,,,,23.0,,,,,,,,,20.0,55.0,,,,30.0,,,,,,,
P4014,5293,7292,317.0,4828.0,148.0,409.0,6490.0,393.0,6.0,,66.0,,,16.0,,,,,,,1.0,,762.0,,,,,,,,,,,,,,,,,,,,,,,4439.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,6.0,,66.0,,,152.0,,,,,,,1.0,,1178.0,,,,,,,,,,,,,,,,,,,,,,,5677.0,,,,,,,,203.0,,,,,,,,,9.0,,,,,,,,,,,,
P1086,5285,6991,330.0,4942.0,13.0,399.0,6480.0,112.0,8.0,,105.0,,,,,13.0,,,,,1.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,343.0,,,,,,,,,,,,,,,,,2.0,43.0,,,,4779.0,,,,,,,,8.0,,637.0,,,,,112.0,,,,,84.0,,,,,,,190.0,6.0,,,,,,,,,,,,,,,,,511.0,,,,,,,,,,,,,,,,,13.0,233.0,,,,5309.0,,,,,,,
P804,5277,10476,143.0,5125.0,9.0,537.0,9689.0,250.0,9.0,,88.0,,,6.0,,,,,,,,,5004.0,,,,,,,,,,,,,,,,,,,,,,,152.0,,,,,,,,1.0,,,,,,,,,13.0,9.0,,,,4.0,,,,,,,,34.0,,88.0,,,148.0,,,,,,,,,9268.0,,,,,,,,,,,,,,,,,,,,,,,787.0,,,,,,,,14.0,,,,,,,,,308.0,75.0,,,,4.0,,,,,,,
P243,5253,12869,128.0,5123.0,2.0,160.0,12628.0,81.0,610.0,,166.0,,,46.0,,,,,,,,,1186.0,,,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,2.0,50.0,,,3063.0,2.0,,,,,,,,1304.0,,367.0,,,4664.0,,,,,,,,,2412.0,,,,,,,,,,,,,,,,,,,,,,,241.0,,,,,,,,,,,,,,,,,11.0,52.0,,,3897.0,2.0,,,,,,,
P1215,5217,5531,17.0,5200.0,,22.0,5509.0,,8.0,,86.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,2.0,,,,,5102.0,,,,,,,,8.0,,86.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,10.0,,,,,5399.0,,,,,,,
P2741,5211,63624,6.0,5204.0,1.0,6.0,63591.0,27.0,4.0,,65.0,,,12.0,,,,,,,1.0,,346.0,,,,,,,,,,,,,,,,,,,,3.0,,,7.0,,,,,,,,1.0,,,,,,,,,2.0,4771.0,,,,,,,,,,,,4.0,,65.0,,,148.0,,,,,,,61.0,,600.0,,,,,,,,,,,,,,,,,,,,132.0,,,33.0,,,,,,,,27.0,,,,,,,,,7.0,62574.0,,,,,,,,,,,
P4080,5077,5081,1.0,5076.0,,1.0,5080.0,,6.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,5013.0,,,,,,,,6.0,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,6.0,,,,,5013.0,,,,,,,
